keyword,search_intent,status,rank_1_domain,rank_1_title,rank_2_domain,rank_3_domain,notes,opportunity_score,priority
fox in the box hermes,Branded/Informational,VERIFIED,github.com,fox-in-the-box-ai/fox-in-the-box,N/A,N/A,You own GitHub rank 1. Opportunity to build brand awareness.,9/10,P0
hermes agent docker,Transactional,VERIFIED,hermes-agent.nousresearch.com,Hermes Agent Docker,hub.docker.com,hostinger.com,"Official docs rank 1. Gap at hermesatlas.com (rank 5). Compete on ease of use, not setup instructions.",7/10,P1
how to install hermes agent,Transactional,VERIFIED,hermes-agent.nousresearch.com,Installation | Hermes Agent,hermes-agent.app,hermesagents.net,"Strong competitors emerging: hermesagents.net, hermesatlas.com. Angle: one-click vs manual.",6/10,P1
hermes agent setup,Transactional,NOT_VERIFIED,unknown,unknown,unknown,unknown,High competition expected. Alternative: target 'no setup' angle instead.,4/10,P3
hermes agent tutorial,Informational,NOT_VERIFIED,unknown,unknown,unknown,unknown,Video-friendly content angle could work. Need SERP data.,5/10,P2
what is hermes agent,Informational,VERIFIED,hermes-agent.nousresearch.com,The Agent That Grows,hermes-agent.org,hermesagents.net,"Official docs dominate completely. Don't compete here. Target 'hermes for beginners' instead.",2/10,P3
hermes vs cursor,Comparative,VERIFIED,get-hermes.ai,Hermes vs. Cursor Comparison,morphllm.com,aiskill.market,"Official Hermes comparison page ranks #1. Can't win. Reframe to 'Hermes + Cursor combo'.",1/10,P3
hermes agent self host,Transactional,NOT_VERIFIED,unknown,unknown,unknown,unknown,Your angle: serverless vs VPS. Need SERP data.,6/10,P1
fox in the box ai,Branded/Commercial,VERIFIED,github.com,fox-in-the-box-ai/fox-in-the-box,blackbox.ai,gamingonphone.com,"FALSE POSITIVE: 'fox in the box' is gaming/soccer term. Ranks show eFootball guides. Add '+hermes' to disambiguate.",3/10,P3
ollama docker,Transactional,NOT_VERIFIED,unknown,unknown,unknown,unknown,Related to local models angle. Lower priority than core Hermes keywords.,5/10,P2
hermes agent github,Navigational,NOT_VERIFIED,unknown,unknown,unknown,unknown,Navigational keyword - less SEO value. GitHub link is primary traffic driver.,3/10,P3
hermes ai local,Informational,NOT_VERIFIED,unknown,unknown,unknown,unknown,Good beginner angle. Local deployment focus.,5/10,P2
self hosted ai tools,Informational,NOT_VERIFIED,unknown,unknown,unknown,unknown,Broad category term. Likely high competition.,3/10,P3
containerized ai,Informational,NOT_VERIFIED,unknown,unknown,unknown,unknown,Infrastructure angle. Lower commercial intent.,2/10,P3
hermes agent cli,Transactional,NOT_VERIFIED,unknown,unknown,unknown,unknown,Technical, niche audience. Lower traffic but high relevance for users.,4/10,P2
hermes agent local models,Transactional,NOT_VERIFIED,unknown,unknown,unknown,unknown,Ollama + Hermes integration. Good beginner angle.,5/10,P2
hermes vs claude code,Comparative,NOT_VERIFIED,unknown,unknown,unknown,unknown,Likely similar challenge to 'hermes vs cursor'. Reframe instead of compete.,1/10,P3
best ai agent framework,Informational,NOT_VERIFIED,unknown,unknown,unknown,unknown,Very competitive comparison term. Low ranking probability.,1/10,P3
open source hermes alternative,Informational,NOT_VERIFIED,unknown,unknown,unknown,unknown,"Against Fox interests. Why would you want searchers looking for 'Hermes alternatives'? Skip.",0/10,P3
