keyword,intent_type,source,notes
hermes agent install,Transactional,cluster:hermes agent,Direct setup instructions
hermes agent docker,Transactional,cluster:hermes agent,Docker deployment
hermes agent setup,Transactional,cluster:hermes agent,Initial configuration
hermes agent tutorial,Informational,cluster:hermes agent,Learning guide
hermes agent self-host,Transactional,cluster:hermes agent,Self-hosting guide
how to install hermes agent,Transactional,cluster:hermes agent,Question format
what is hermes agent,Informational,cluster:hermes agent,Concept explanation
hermes agent github,Navigational,cluster:hermes agent,Repository location
hermes ai docker,Transactional,cluster:hermes ai,AI in Docker
hermes ai local,Transactional,cluster:hermes ai,Local deployment
hermes ai self hosted,Transactional,cluster:hermes ai,Self-hosting AI
what is hermes ai,Informational,cluster:hermes ai,AI concept
hermes ai tutorial,Informational,cluster:hermes ai,AI learning
hermes ai setup,Transactional,cluster:hermes ai,AI setup
is hermes ai free,Informational,cluster:hermes ai,Pricing question
fox in the box ai,Commercial,cluster:fox in the box,Product positioning
fox in the box hermes,Navigational,cluster:fox in the box,Brand + product
fox in the box docker,Transactional,cluster:fox in the box,Docker wrapper
fox in the box app,Navigational,cluster:fox in the box,App info
fox in the box download,Transactional,cluster:fox in the box,Get the app
ollama docker,Transactional,cluster:related trends,Local LLM setup
self hosted ai,Informational,cluster:related trends,Self-hosting concept
local llm desktop,Transactional,cluster:related trends,Desktop LLM
hermes vs cursor,Commercial,cluster:related trends,Tool comparison
hermes vs claude code,Commercial,cluster:related trends,Tool comparison
hermes agent supervisor,Informational,cluster:related trends,Feature/use case
electron app docker,Technical,cluster:related trends,Technical approach
local llm setup,Transactional,competitor:expected_serp,SERP pattern
run ollama locally,Transactional,competitor:expected_serp,SERP pattern
docker compose llm,Transactional,competitor:expected_serp,SERP pattern
ai development environment,Informational,competitor:expected_serp,SERP pattern
open source hermes alternative,Commercial,competitor:expected_serp,SERP pattern
best local ai tools 2025,Commercial,competitor:expected_serp,SERP pattern
containerized ai workloads,Technical,competitor:expected_serp,SERP pattern
self-hosted ai comparison,Commercial,competitor:expected_serp,SERP pattern
hermes agent performance,Informational,competitor:expected_serp,SERP pattern
llm inference locally,Transactional,competitor:expected_serp,SERP pattern
ai agent framework,Informational,trend:market,Market trend
llm orchestration,Informational,trend:market,Market trend
ai devops tools,Informational,trend:market,Market trend
local ai inference,Transactional,trend:market,Market trend
private ai deployment,Commercial,trend:market,Market trend
hermes alternatives,Commercial,trend:market,Market trend
cursor vs hermes,Commercial,trend:market,Comparison trend
claude code vs hermes,Commercial,trend:market,Comparison trend
