month,priority,keyword,content_type,target_url,word_count,cta,status
1,1,fox in the box hermes,Resource Hub,/fox-in-the-box-hermes,500-800,Link to GitHub,Backlog
1,2,fox in the box ai,Comparison Page,/fox-in-the-box-ai,1500-2500,Compare Tools,Backlog
1,3,fox in the box app,Resource Hub,/fox-in-the-box-app,500-800,Link to GitHub,Backlog
1,4,how to install hermes agent,Step-by-Step Guide,/how-to-install-hermes-agent,1200-2000,Download Fox in the Box,Backlog
2,5,what is hermes ai,Blog Post,/what-is-hermes-ai,1500-2500,Try Free,Backlog
2,6,is hermes ai free,Blog Post,/is-hermes-ai-free,1500-2500,Try Free,Backlog
2,7,fox in the box ai,Comparison Page,/fox-in-the-box-ai,1500-2500,Compare Tools,Backlog
2,8,open source hermes alternative,Comparison Page,/open-source-hermes-alternative,1500-2500,Compare Tools,Backlog
2,9,what is hermes agent,Blog Post,/what-is-hermes-agent,1500-2500,Try Free,Backlog
2,10,best local ai tools 2025,Comparison Page,/best-local-ai-tools-2025,1500-2500,Compare Tools,Backlog
3,11,hermes agent supervisor,Blog Post,/hermes-agent-supervisor,1500-2500,Try Free,Backlog
3,12,hermes agent setup,Step-by-Step Guide,/hermes-agent-setup,1200-2000,Download Fox in the Box,Backlog
3,13,hermes agent install,Step-by-Step Guide,/hermes-agent-install,1200-2000,Download Fox in the Box,Backlog
3,14,electron app docker,Technical Deep-Dive,/electron-app-docker,2000-3000,Read Full Guide,Backlog
3,15,containerized ai workloads,Technical Deep-Dive,/containerized-ai-workloads,2000-3000,Read Full Guide,Backlog
3,16,hermes agent tutorial,Blog Post,/hermes-agent-tutorial,1500-2500,Try Free,Backlog
3,17,hermes ai setup,Step-by-Step Guide,/hermes-ai-setup,1200-2000,Download Fox in the Box,Backlog
3,18,hermes alternatives,Comparison Page,/hermes-alternatives,1500-2500,Compare Tools,Backlog
3,19,hermes ai docker,Step-by-Step Guide,/hermes-ai-docker,1200-2000,Download Fox in the Box,Backlog
3,20,hermes ai local,Step-by-Step Guide,/hermes-ai-local,1200-2000,Download Fox in the Box,Backlog
